canton_name,year,Number of deliveries,Number of cesarean sections,Number_of_operating_rooms,Number_of_delivery_rooms
Aargau,2019,13580.0,4590.0,232.0,84.0
Appenzell Ausserrhoden,2019,1072.0,326.0,64.0,32.0
Appenzell Innerrhoden,2019,300.0,80.0,8.0,0.0
Basel-Landschaft,2019,4842.0,1680.0,128.0,28.0
Basel-Stadt,2019,3966.0,1314.0,236.0,60.0
Bern,2019,19196.0,6162.0,560.0,184.0
Fribourg,2019,6782.0,1976.0,96.0,40.0
Genève,2019,10808.0,3038.0,292.0,100.0
Glarus,2019,774.0,268.0,16.0,8.0
Graubünden,2019,3070.0,1014.0,122.0,65.0
Jura,2019,1378.0,322.0,20.0,16.0
Luzern,2019,8310.0,2600.0,248.0,60.0
Neuchâtel,2019,3246.0,884.0,72.0,24.0
Nidwalden,2019,734.0,230.0,16.0,16.0
Obwalden,2019,672.0,158.0,12.0,8.0
Schaffhausen,2019,1350.0,456.0,28.0,8.0
Schwyz,2019,2888.0,948.0,44.0,24.0
Solothurn,2019,4962.0,1686.0,116.0,40.0
St. Gallen,2019,10078.0,3140.0,200.0,92.0
Thurgau,2019,5514.0,1612.0,100.0,36.0
Ticino,2019,4904.0,1562.0,173.0,48.0
Uri,2019,624.0,148.0,12.0,8.0
Valais,2019,6040.0,1576.0,100.0,32.0
Vaud,2019,16648.0,4786.0,402.0,102.0
Zug,2019,2570.0,962.0,36.0,24.0
Zürich,2019,31914.0,11676.0,732.0,256.0
